claim_id,vehicle_id,driver_id,trip_id,accident_timestamp,accident_location,weather_condition,road_condition,collision_type,damaged_component,severity,estimated_repair_cost,claim_amount,fraud_flag,claim_status
C00377,V0344,D0082,T00186,2025-08-17T08:33:00,Kozhikode,Cloudy,Dry,Rear-end,Rear Bumper,Moderate,123304,119243,Yes,Rejected
C00378,V0417,D0580,T06941,2025-05-05T04:13:00,Kochi,Rain,Wet,Rear-end,Engine Bay,Moderate,49483,41647,No,Rejected
C00379,V0092,D0149,T00986,2025-08-30T09:43:00,Alappuzha,Cloudy,Dry,Head-on,Headlight,Major,206503,174753,Yes,Under Review
C00380,V0293,D0520,T03278,2025-12-04T22:14:00,Kozhikode,Fog,Slippery,Single Vehicle,Rear Bumper,Minor,57334,46998,Yes,Under Review
C00381,V0411,D0592,T08001,2025-09-19T12:42:00,Kozhikode,Heavy Rain,Wet,Rear-end,Headlight,Minor,195549,191831,No,Rejected
C00382,V0297,D0029,T08319,2025-08-23T17:25:00,Palakkad,Fog,Slippery,Side,Door,Minor,181094,174060,No,Approved
C00383,V0314,D0610,T07875,2025-06-13T14:39:00,Kochi,Rain,Wet,Side,Headlight,Minor,78344,71367,No,Approved
C00384,V0247,D0006,T09825,2025-07-16T15:48:00,Kozhikode,Sunny,Wet,Side,Door,Major,150514,130834,No,Approved
C00385,V0308,D0477,T00913,2025-10-29T21:30:00,Kozhikode,Cloudy,Slippery,Side,Windshield,Minor,87516,85843,No,Under Review
C00386,V0476,D0063,T06136,2025-12-22T12:44:00,Kollam,Rain,Slippery,Side,Door,Major,91062,80382,Yes,Rejected
C00387,V0168,D0324,T06206,2025-08-29T21:26:00,Alappuzha,Fog,Wet,Side,Front Bumper,Minor,144580,122939,No,Under Review
C00388,V0207,D0658,T07966,2025-12-29T04:41:00,Kollam,Rain,Wet,Rear-end,Windshield,Major,186708,166258,No,Approved
C00389,V0260,D0488,T08291,2025-03-25T18:09:00,Kollam,Cloudy,Wet,Side,Headlight,Major,187656,157107,Yes,Rejected
C00390,V0106,D0658,T06267,2025-02-03T03:16:00,Thrissur,Rain,Dry,Side,Engine Bay,Minor,214858,195103,No,Approved
C00391,V0256,D0223,T09004,2025-04-17T20:01:00,Kollam,Heavy Rain,Dry,Rear-end,Door,Minor,10670,10190,Yes,Rejected
C00392,V0357,D0145,T04733,2025-06-16T20:41:00,Kochi,Heavy Rain,Dry,Single Vehicle,Rear Bumper,Minor,249859,208979,No,Rejected
C00393,V0271,D0241,T06682,2025-06-26T04:10:00,Palakkad,Heavy Rain,Slippery,Single Vehicle,Front Bumper,Moderate,111772,91859,No,Approved
C00394,V0420,D0088,T08517,2025-07-25T07:54:00,Kozhikode,Sunny,Dry,Rear-end,Front Bumper,Major,238698,206804,Yes,Rejected
C00395,V0170,D0583,T06164,2025-07-04T17:50:00,Thrissur,Rain,Dry,Rear-end,Door,Moderate,172708,148874,No,Under Review
C00396,V0418,D0413,T01155,2025-07-22T04:47:00,Palakkad,Fog,Dry,Head-on,Engine Bay,Moderate,207500,205768,No,Rejected
C00397,V0009,D0156,T09975,2025-09-07T16:03:00,Kollam,Cloudy,Slippery,Single Vehicle,Front Bumper,Moderate,161431,141362,No,Under Review
C00398,V0392,D0370,T07306,2025-10-19T11:27:00,Kollam,Rain,Wet,Side,Engine Bay,Minor,243640,241997,No,Rejected
C00399,V0108,D0159,T07138,2025-12-24T08:13:00,Kochi,Cloudy,Wet,Side,Windshield,Moderate,98534,80752,No,Approved
C00400,V0286,D0287,T08408,2025-02-08T19:53:00,Palakkad,Sunny,Dry,Side,Door,Moderate,161657,153391,No,Under Review
C00401,V0495,D0321,T06078,2025-06-22T07:15:00,Alappuzha,Rain,Slippery,Rear-end,Headlight,Major,170165,165024,No,Approved
C00402,V0101,D0309,T00141,2025-03-30T13:10:00,Thrissur,Heavy Rain,Dry,Head-on,Engine Bay,Moderate,129130,108419,Yes,Under Review
C00403,V0237,D0043,T06854,2025-10-05T22:00:00,Kollam,Fog,Slippery,Side,Door,Minor,129105,108258,No,Under Review
C00404,V0071,D0562,T05700,2025-12-24T12:05:00,Kochi,Fog,Wet,Single Vehicle,Rear Bumper,Major,244442,206577,Yes,Under Review
C00405,V0372,D0237,T08477,2025-04-05T20:47:00,Kollam,Cloudy,Dry,Rear-end,Door,Major,154712,132191,Yes,Rejected
C00406,V0213,D0186,T01235,2025-09-20T22:32:00,Kochi,Sunny,Wet,Side,Windshield,Moderate,68761,67658,No,Approved
C00407,V0213,D0194,T09744,2025-02-15T12:09:00,Kozhikode,Sunny,Slippery,Side,Rear Bumper,Minor,17912,14471,Yes,Under Review
C00408,V0088,D0051,T06782,2025-12-18T04:08:00,Alappuzha,Fog,Dry,Rear-end,Windshield,Major,171109,151972,Yes,Rejected
C00409,V0298,D0363,T03383,2025-04-10T12:29:00,Kochi,Fog,Wet,Single Vehicle,Windshield,Major,175897,151333,No,Under Review
C00410,V0081,D0373,T00051,2025-06-22T15:02:00,Kollam,Cloudy,Dry,Head-on,Headlight,Minor,242774,219024,No,Rejected
C00411,V0388,D0097,T08085,2025-08-24T02:52:00,Kochi,Fog,Dry,Head-on,Engine Bay,Minor,91315,78881,No,Approved
C00412,V0061,D0120,T03535,2025-01-12T16:04:00,Kozhikode,Rain,Wet,Head-on,Door,Moderate,34339,32731,No,Under Review
C00413,V0451,D0396,T00697,2025-07-01T09:23:00,Kochi,Cloudy,Wet,Single Vehicle,Rear Bumper,Moderate,203848,197795,No,Approved
C00414,V0272,D0122,T02689,2025-12-18T03:10:00,Kozhikode,Cloudy,Dry,Single Vehicle,Headlight,Major,239634,199825,No,Rejected
C00415,V0247,D0613,T08120,2025-12-11T22:39:00,Kollam,Rain,Slippery,Head-on,Door,Moderate,11036,8845,No,Approved
C00416,V0200,D0276,T03439,2025-07-07T00:34:00,Alappuzha,Sunny,Dry,Side,Door,Major,61475,57651,No,Under Review
C00417,V0016,D0174,T05076,2025-06-09T16:29:00,Palakkad,Heavy Rain,Wet,Rear-end,Door,Minor,21984,21182,No,Under Review
C00418,V0182,D0130,T01379,2025-05-16T03:28:00,Kozhikode,Fog,Slippery,Rear-end,Front Bumper,Minor,218895,176401,Yes,Approved
C00419,V0326,D0313,T09626,2025-01-21T01:31:00,Palakkad,Cloudy,Slippery,Side,Engine Bay,Moderate,142382,133226,No,Rejected
C00420,V0158,D0439,T07409,2025-07-25T17:26:00,Thrissur,Heavy Rain,Slippery,Single Vehicle,Rear Bumper,Minor,114359,93957,No,Under Review
C00421,V0240,D0599,T01704,2025-10-01T05:13:00,Kochi,Sunny,Wet,Side,Door,Major,203926,203914,No,Approved
C00422,V0496,D0655,T05969,2025-09-07T21:38:00,Kochi,Cloudy,Dry,Single Vehicle,Front Bumper,Major,85588,83256,No,Approved
C00423,V0116,D0228,T05379,2025-11-01T17:24:00,Palakkad,Rain,Wet,Rear-end,Rear Bumper,Minor,202757,181678,No,Rejected
C00424,V0376,D0217,T00282,2025-06-12T10:20:00,Kollam,Sunny,Dry,Rear-end,Headlight,Major,216231,181552,No,Approved
C00425,V0234,D0250,T00179,2025-09-15T05:49:00,Palakkad,Heavy Rain,Slippery,Rear-end,Windshield,Moderate,244897,227919,No,Under Review
C00426,V0396,D0330,T00606,2025-12-19T16:20:00,Alappuzha,Heavy Rain,Dry,Rear-end,Headlight,Minor,29042,25240,No,Approved
C00427,V0175,D0220,T03222,2025-01-28T23:38:00,Kollam,Heavy Rain,Slippery,Single Vehicle,Front Bumper,Minor,180927,167966,No,Rejected
C00428,V0267,D0070,T00209,2025-03-14T13:11:00,Kochi,Rain,Dry,Head-on,Windshield,Minor,30472,25842,No,Approved
C00429,V0495,D0348,T08281,2025-11-12T23:18:00,Alappuzha,Rain,Slippery,Rear-end,Door,Moderate,198732,173981,No,Rejected
C00430,V0030,D0090,T07694,2025-06-11T19:53:00,Palakkad,Rain,Wet,Rear-end,Engine Bay,Moderate,17959,14372,No,Approved
C00431,V0205,D0296,T00572,2025-08-17T05:46:00,Alappuzha,Sunny,Slippery,Side,Front Bumper,Moderate,190494,188181,No,Rejected
C00432,V0057,D0327,T06070,2025-02-14T16:05:00,Alappuzha,Cloudy,Dry,Rear-end,Door,Major,133368,112444,Yes,Under Review
C00433,V0014,D0194,T06022,2025-09-09T22:52:00,Kochi,Sunny,Slippery,Rear-end,Headlight,Moderate,144004,126393,No,Under Review
C00434,V0431,D0542,T05745,2025-04-22T13:09:00,Kochi,Cloudy,Slippery,Head-on,Door,Moderate,43087,35556,No,Rejected
C00435,V0424,D0423,T06498,2025-04-01T07:54:00,Kollam,Cloudy,Slippery,Head-on,Headlight,Major,171068,156360,No,Approved
C00436,V0087,D0600,T00327,2025-05-06T11:55:00,Thrissur,Rain,Wet,Rear-end,Door,Moderate,47266,41928,No,Approved
C00437,V0179,D0003,T04887,2025-04-29T23:38:00,Kollam,Sunny,Slippery,Side,Front Bumper,Minor,207496,178611,No,Under Review
C00438,V0191,D0017,T03495,2025-04-21T03:06:00,Kochi,Heavy Rain,Slippery,Head-on,Engine Bay,Moderate,164348,161706,No,Rejected
C00439,V0407,D0441,T01031,2025-04-29T06:37:00,Alappuzha,Rain,Dry,Single Vehicle,Windshield,Minor,162821,149303,No,Approved
C00440,V0012,D0444,T02600,2025-11-08T14:14:00,Palakkad,Heavy Rain,Wet,Side,Windshield,Major,121111,114574,No,Under Review
C00441,V0450,D0204,T00977,2025-09-03T10:33:00,Kozhikode,Rain,Dry,Side,Windshield,Minor,19314,18863,No,Approved
C00442,V0354,D0326,T00607,2025-09-19T07:03:00,Alappuzha,Fog,Dry,Side,Door,Minor,166414,157461,No,Rejected
C00443,V0416,D0659,T06780,2025-05-24T15:39:00,Kozhikode,Rain,Wet,Head-on,Door,Moderate,143361,124540,No,Approved
C00444,V0277,D0255,T06497,2025-08-03T12:05:00,Kozhikode,Fog,Dry,Rear-end,Engine Bay,Moderate,208213,203250,No,Under Review
C00445,V0062,D0222,T05305,2025-04-04T15:29:00,Thrissur,Cloudy,Wet,Single Vehicle,Door,Moderate,14580,13759,Yes,Under Review
C00446,V0467,D0525,T01857,2025-03-21T05:59:00,Alappuzha,Heavy Rain,Wet,Single Vehicle,Windshield,Major,28638,28156,Yes,Approved
C00447,V0029,D0415,T04788,2025-06-10T20:09:00,Palakkad,Rain,Wet,Head-on,Engine Bay,Minor,29343,28598,No,Under Review
C00448,V0254,D0430,T03607,2025-07-13T16:10:00,Kozhikode,Rain,Slippery,Single Vehicle,Door,Major,93716,76647,Yes,Approved
C00449,V0200,D0431,T05400,2025-10-22T06:17:00,Kozhikode,Rain,Wet,Rear-end,Engine Bay,Minor,85555,72888,No,Under Review
C00450,V0162,D0598,T00339,2025-03-11T04:19:00,Kozhikode,Sunny,Dry,Head-on,Rear Bumper,Moderate,51222,40993,No,Approved
C00451,V0489,D0341,T07789,2025-10-02T16:08:00,Palakkad,Fog,Dry,Head-on,Door,Minor,216820,201692,No,Approved
C00452,V0268,D0415,T00607,2025-11-20T07:05:00,Kollam,Rain,Dry,Head-on,Windshield,Major,186000,160645,No,Rejected
C00453,V0201,D0156,T00419,2025-04-16T03:59:00,Alappuzha,Sunny,Slippery,Side,Door,Minor,181403,159185,No,Under Review
C00454,V0169,D0360,T03127,2025-05-29T22:41:00,Palakkad,Rain,Wet,Side,Windshield,Major,181963,174745,No,Approved
C00455,V0196,D0300,T05902,2025-03-02T16:13:00,Kochi,Cloudy,Wet,Single Vehicle,Front Bumper,Minor,96717,89549,No,Under Review
C00456,V0491,D0176,T03804,2025-06-21T23:57:00,Kozhikode,Heavy Rain,Wet,Rear-end,Engine Bay,Moderate,13298,10943,No,Approved
C00457,V0356,D0410,T08878,2025-10-23T20:23:00,Kollam,Sunny,Slippery,Side,Headlight,Major,233502,201328,No,Under Review
C00458,V0307,D0627,T06897,2025-09-02T20:48:00,Palakkad,Rain,Slippery,Single Vehicle,Door,Moderate,13716,11504,Yes,Rejected
C00459,V0203,D0403,T02413,2025-12-22T08:30:00,Palakkad,Cloudy,Slippery,Rear-end,Windshield,Minor,104307,89466,Yes,Approved
C00460,V0400,D0502,T07937,2025-02-16T20:36:00,Kochi,Fog,Wet,Rear-end,Front Bumper,Moderate,72521,68931,No,Rejected
C00461,V0015,D0374,T08473,2025-02-21T07:55:00,Kochi,Heavy Rain,Wet,Side,Rear Bumper,Minor,137070,114014,Yes,Under Review
C00462,V0150,D0215,T03154,2025-02-27T15:57:00,Kollam,Rain,Dry,Head-on,Engine Bay,Minor,11645,9341,No,Approved
C00463,V0280,D0698,T05888,2025-12-06T21:01:00,Kozhikode,Heavy Rain,Dry,Side,Rear Bumper,Minor,75864,64649,Yes,Under Review
C00464,V0248,D0303,T08857,2025-09-29T20:41:00,Kollam,Cloudy,Wet,Rear-end,Engine Bay,Minor,62332,56394,Yes,Under Review
C00465,V0311,D0263,T05104,2025-10-07T21:32:00,Kollam,Heavy Rain,Dry,Rear-end,Headlight,Minor,146957,123338,Yes,Approved
C00466,V0301,D0049,T08095,2025-08-22T10:35:00,Kollam,Heavy Rain,Wet,Head-on,Headlight,Major,138450,123255,Yes,Rejected
C00467,V0283,D0605,T00008,2025-02-09T19:55:00,Alappuzha,Heavy Rain,Dry,Side,Headlight,Major,175411,148393,Yes,Under Review
C00468,V0453,D0652,T00011,2025-07-27T05:00:00,Thrissur,Sunny,Slippery,Single Vehicle,Door,Minor,156626,151010,No,Rejected
C00469,V0099,D0622,T09291,2025-12-04T06:43:00,Kollam,Sunny,Slippery,Rear-end,Engine Bay,Major,19826,17009,No,Rejected
C00470,V0457,D0601,T06972,2025-07-28T21:51:00,Kochi,Rain,Slippery,Single Vehicle,Door,Minor,168186,155043,No,Approved
C00471,V0293,D0383,T05531,2025-04-07T05:45:00,Alappuzha,Heavy Rain,Slippery,Rear-end,Windshield,Minor,242005,205950,Yes,Rejected
C00472,V0207,D0595,T01541,2025-05-14T02:42:00,Kozhikode,Cloudy,Slippery,Head-on,Windshield,Major,137409,114007,No,Rejected
C00473,V0112,D0214,T06261,2025-02-03T10:15:00,Kozhikode,Fog,Wet,Single Vehicle,Front Bumper,Major,36957,33419,No,Rejected
C00474,V0493,D0323,T09371,2025-05-28T01:37:00,Kozhikode,Heavy Rain,Dry,Side,Front Bumper,Moderate,79263,68969,No,Approved
C00475,V0012,D0111,T04916,2025-07-15T06:42:00,Alappuzha,Cloudy,Slippery,Head-on,Door,Minor,98719,94175,No,Rejected
C00476,V0454,D0443,T01256,2025-12-28T13:07:00,Alappuzha,Rain,Dry,Head-on,Headlight,Moderate,36300,31922,No,Under Review
C00477,V0017,D0448,T08529,2025-01-21T09:58:00,Thrissur,Sunny,Dry,Side,Door,Major,50533,47802,No,Approved
C00478,V0009,D0558,T09150,2025-04-24T21:24:00,Alappuzha,Fog,Slippery,Single Vehicle,Door,Moderate,194014,175270,No,Approved
C00479,V0160,D0067,T01863,2025-05-28T17:31:00,Kochi,Sunny,Dry,Rear-end,Front Bumper,Moderate,216925,175984,No,Under Review
C00480,V0207,D0454,T08839,2025-01-06T10:02:00,Thrissur,Heavy Rain,Wet,Head-on,Engine Bay,Major,209593,197631,No,Approved
C00481,V0098,D0351,T05328,2025-12-31T16:26:00,Thrissur,Heavy Rain,Dry,Rear-end,Door,Minor,33106,31832,No,Approved
C00482,V0441,D0350,T05554,2025-06-17T14:12:00,Thrissur,Heavy Rain,Wet,Side,Windshield,Minor,35475,28783,Yes,Under Review
C00483,V0196,D0389,T06140,2025-06-17T06:31:00,Kochi,Heavy Rain,Slippery,Side,Rear Bumper,Major,174922,160885,No,Under Review
C00484,V0342,D0164,T02727,2025-01-16T01:23:00,Kozhikode,Sunny,Dry,Rear-end,Windshield,Minor,188600,182149,No,Rejected
C00485,V0025,D0365,T09042,2025-08-20T15:51:00,Kollam,Rain,Wet,Head-on,Engine Bay,Moderate,131648,113637,Yes,Under Review
C00486,V0029,D0627,T06344,2025-08-06T05:50:00,Kochi,Heavy Rain,Slippery,Rear-end,Headlight,Minor,171468,160382,No,Under Review
C00487,V0311,D0422,T00726,2025-01-30T19:26:00,Thrissur,Rain,Wet,Single Vehicle,Windshield,Minor,72536,67958,No,Rejected
C00488,V0187,D0391,T09297,2025-05-26T10:14:00,Kollam,Cloudy,Wet,Single Vehicle,Door,Major,189608,157352,No,Under Review
C00489,V0123,D0267,T01810,2025-11-23T23:48:00,Kozhikode,Fog,Wet,Head-on,Headlight,Moderate,60492,58344,No,Rejected
C00490,V0277,D0676,T02368,2025-12-23T13:38:00,Kollam,Heavy Rain,Dry,Head-on,Windshield,Moderate,142481,136899,No,Approved
C00491,V0032,D0253,T05122,2025-03-07T04:10:00,Alappuzha,Heavy Rain,Wet,Side,Rear Bumper,Minor,240836,212443,No,Approved
C00492,V0002,D0324,T08239,2025-04-13T07:29:00,Palakkad,Fog,Dry,Rear-end,Headlight,Moderate,56587,51988,No,Approved
C00493,V0013,D0644,T06274,2025-02-08T05:18:00,Alappuzha,Rain,Wet,Side,Headlight,Minor,177748,168447,No,Rejected
C00494,V0108,D0525,T07421,2025-06-01T04:59:00,Alappuzha,Cloudy,Dry,Head-on,Rear Bumper,Major,166106,136930,Yes,Rejected
C00495,V0367,D0375,T02449,2025-05-17T02:50:00,Palakkad,Cloudy,Slippery,Side,Door,Major,141612,114902,No,Under Review
C00496,V0115,D0019,T03881,2025-07-29T10:44:00,Kochi,Heavy Rain,Wet,Rear-end,Engine Bay,Major,234839,198882,No,Under Review
C00497,V0363,D0614,T02508,2025-05-06T20:29:00,Thrissur,Sunny,Wet,Single Vehicle,Windshield,Minor,174440,164117,No,Under Review
C00498,V0203,D0610,T05192,2025-11-11T05:17:00,Alappuzha,Heavy Rain,Slippery,Rear-end,Headlight,Major,11616,10621,No,Approved
C00499,V0191,D0618,T09282,2025-03-18T01:26:00,Palakkad,Cloudy,Dry,Single Vehicle,Headlight,Moderate,127731,119916,No,Rejected
C00500,V0051,D0220,T02344,2025-04-06T22:46:00,Palakkad,Rain,Dry,Side,Rear Bumper,Major,41321,34242,No,Under Review
C00501,V0448,D0665,T05375,2025-03-13T00:36:00,Thrissur,Cloudy,Wet,Side,Rear Bumper,Major,222244,210572,No,Under Review
C00502,V0279,D0342,T06093,2025-12-21T09:11:00,Alappuzha,Heavy Rain,Wet,Side,Rear Bumper,Minor,68118,63494,Yes,Under Review
C00503,V0107,D0420,T04606,2025-12-06T08:11:00,Kozhikode,Sunny,Slippery,Head-on,Front Bumper,Major,142178,120330,No,Approved
C00504,V0015,D0317,T08609,2025-02-17T09:42:00,Kollam,Sunny,Dry,Rear-end,Engine Bay,Moderate,176542,141617,No,Approved
C00505,V0128,D0601,T06084,2025-10-26T07:00:00,Kochi,Cloudy,Dry,Single Vehicle,Rear Bumper,Minor,115378,94983,Yes,Under Review
C00506,V0088,D0585,T00275,2025-10-08T23:39:00,Alappuzha,Heavy Rain,Dry,Side,Front Bumper,Moderate,31230,26815,No,Rejected
C00507,V0250,D0672,T00467,2025-06-04T20:13:00,Kollam,Fog,Slippery,Rear-end,Windshield,Minor,201499,171137,No,Under Review
C00508,V0175,D0622,T09838,2025-02-18T17:04:00,Alappuzha,Heavy Rain,Dry,Head-on,Door,Moderate,35724,34785,No,Approved
C00509,V0140,D0272,T04130,2025-05-31T23:50:00,Palakkad,Cloudy,Slippery,Side,Front Bumper,Minor,102385,84394,No,Rejected
C00510,V0188,D0323,T00807,2025-03-14T06:50:00,Palakkad,Rain,Wet,Single Vehicle,Front Bumper,Moderate,141311,117693,No,Approved
C00511,V0159,D0696,T09677,2025-05-25T14:52:00,Kochi,Cloudy,Wet,Single Vehicle,Engine Bay,Minor,67239,64143,No,Approved
C00512,V0281,D0692,T01726,2025-04-19T10:05:00,Alappuzha,Fog,Dry,Head-on,Engine Bay,Major,94297,78346,No,Under Review
C00513,V0449,D0602,T06856,2025-10-13T01:50:00,Alappuzha,Heavy Rain,Slippery,Side,Rear Bumper,Minor,46797,46078,No,Under Review
C00514,V0143,D0357,T05601,2025-02-22T01:28:00,Thrissur,Rain,Wet,Rear-end,Door,Minor,123895,106295,Yes,Rejected
C00515,V0391,D0245,T07483,2025-05-14T23:13:00,Kozhikode,Sunny,Dry,Rear-end,Engine Bay,Major,154276,137272,No,Approved
C00516,V0387,D0236,T09304,2025-09-17T22:27:00,Thrissur,Fog,Wet,Single Vehicle,Door,Major,77562,65734,No,Under Review
C00517,V0418,D0272,T03226,2025-08-14T04:00:00,Palakkad,Fog,Wet,Side,Engine Bay,Major,215891,201202,Yes,Approved
C00518,V0295,D0631,T05365,2025-10-26T18:43:00,Palakkad,Sunny,Wet,Rear-end,Engine Bay,Moderate,59452,51860,No,Approved
C00519,V0367,D0067,T01197,2025-12-15T02:21:00,Kochi,Sunny,Slippery,Side,Headlight,Minor,169013,165652,Yes,Rejected
C00520,V0497,D0630,T04524,2025-07-12T21:51:00,Kollam,Fog,Wet,Side,Front Bumper,Minor,26516,22967,No,Approved
C00521,V0033,D0392,T06869,2025-11-19T01:51:00,Alappuzha,Sunny,Slippery,Single Vehicle,Engine Bay,Moderate,69131,56807,No,Approved
C00522,V0116,D0590,T04868,2025-04-10T08:44:00,Thrissur,Fog,Dry,Side,Door,Minor,86471,71356,No,Approved
C00523,V0394,D0635,T08140,2025-01-30T13:34:00,Kollam,Fog,Slippery,Rear-end,Headlight,Major,42060,36886,Yes,Under Review
C00524,V0174,D0031,T00049,2025-05-25T00:40:00,Palakkad,Sunny,Dry,Rear-end,Door,Major,85566,70909,No,Under Review
C00525,V0085,D0184,T02164,2025-10-10T14:26:00,Kochi,Sunny,Wet,Rear-end,Windshield,Moderate,215543,189994,No,Approved
C00526,V0038,D0228,T01171,2025-02-05T08:42:00,Palakkad,Rain,Slippery,Single Vehicle,Rear Bumper,Minor,199089,181579,No,Under Review
C00527,V0199,D0465,T05289,2025-11-07T00:35:00,Palakkad,Fog,Dry,Rear-end,Headlight,Major,118956,96667,No,Rejected
C00528,V0016,D0534,T08302,2025-06-03T12:32:00,Alappuzha,Cloudy,Wet,Side,Front Bumper,Moderate,218560,196929,No,Under Review
C00529,V0128,D0244,T07661,2025-05-15T05:08:00,Kollam,Heavy Rain,Slippery,Side,Front Bumper,Minor,161359,138002,No,Approved
C00530,V0296,D0687,T04152,2025-08-01T11:10:00,Thrissur,Rain,Wet,Side,Engine Bay,Minor,230960,219736,Yes,Approved
C00531,V0328,D0027,T06788,2025-08-26T10:36:00,Kollam,Cloudy,Wet,Side,Door,Minor,217735,201036,No,Approved
C00532,V0059,D0646,T01241,2025-11-06T09:00:00,Palakkad,Cloudy,Wet,Rear-end,Door,Minor,123479,116141,No,Under Review
C00533,V0103,D0194,T04814,2025-10-10T03:40:00,Kochi,Sunny,Dry,Head-on,Engine Bay,Moderate,41370,33359,No,Approved
C00534,V0436,D0619,T00789,2025-02-03T22:52:00,Kozhikode,Heavy Rain,Wet,Head-on,Front Bumper,Minor,68686,68140,No,Approved
C00535,V0406,D0557,T08762,2025-12-21T10:34:00,Palakkad,Fog,Slippery,Side,Engine Bay,Minor,63256,51405,No,Approved
C00536,V0494,D0518,T01420,2025-08-30T02:49:00,Kochi,Fog,Dry,Rear-end,Door,Moderate,232112,225054,No,Under Review
C00537,V0305,D0235,T00190,2025-12-03T10:17:00,Thrissur,Fog,Wet,Rear-end,Windshield,Minor,73092,62518,No,Rejected
C00538,V0353,D0341,T07628,2025-05-24T01:37:00,Palakkad,Rain,Dry,Head-on,Front Bumper,Major,134132,109290,No,Under Review
C00539,V0206,D0397,T09749,2025-05-03T04:55:00,Kozhikode,Sunny,Slippery,Head-on,Front Bumper,Minor,210159,195901,No,Approved
C00540,V0499,D0054,T05789,2025-03-14T17:42:00,Kochi,Cloudy,Wet,Rear-end,Rear Bumper,Moderate,142102,127280,No,Rejected
C00541,V0109,D0115,T02118,2025-12-05T03:51:00,Alappuzha,Heavy Rain,Slippery,Side,Engine Bay,Moderate,100753,90942,No,Under Review
C00542,V0230,D0282,T02342,2025-08-23T19:02:00,Thrissur,Cloudy,Slippery,Rear-end,Windshield,Minor,226684,222817,No,Under Review
C00543,V0451,D0208,T03909,2025-10-23T02:13:00,Kollam,Fog,Dry,Head-on,Headlight,Moderate,44635,38629,Yes,Rejected
C00544,V0127,D0543,T07157,2025-09-17T19:52:00,Palakkad,Rain,Slippery,Head-on,Rear Bumper,Minor,150203,125554,Yes,Under Review
C00545,V0263,D0167,T03675,2025-05-01T20:37:00,Kozhikode,Rain,Wet,Rear-end,Door,Major,109928,104939,No,Rejected
C00546,V0211,D0209,T07504,2025-03-16T12:33:00,Thrissur,Rain,Dry,Rear-end,Door,Major,51064,49819,Yes,Rejected
C00547,V0338,D0388,T06645,2025-03-05T01:41:00,Kochi,Cloudy,Wet,Rear-end,Rear Bumper,Minor,139189,115071,No,Under Review
C00548,V0443,D0136,T07834,2025-01-31T21:02:00,Alappuzha,Cloudy,Wet,Rear-end,Headlight,Minor,89902,85713,No,Approved
C00549,V0021,D0439,T05073,2025-12-07T15:04:00,Alappuzha,Rain,Wet,Rear-end,Windshield,Minor,86308,84232,No,Approved
C00550,V0383,D0517,T07121,2025-10-14T05:27:00,Alappuzha,Rain,Wet,Single Vehicle,Front Bumper,Major,134093,110759,Yes,Under Review
C00551,V0201,D0354,T07565,2025-01-13T12:42:00,Alappuzha,Cloudy,Slippery,Side,Engine Bay,Moderate,239821,207667,No,Approved
C00552,V0248,D0482,T04744,2025-08-15T23:04:00,Kollam,Heavy Rain,Wet,Single Vehicle,Door,Major,181642,147324,No,Under Review
C00553,V0205,D0339,T09432,2025-04-16T05:43:00,Kozhikode,Sunny,Slippery,Side,Door,Minor,100164,97373,No,Rejected
C00554,V0159,D0031,T04164,2025-03-19T16:37:00,Kozhikode,Sunny,Slippery,Single Vehicle,Front Bumper,Minor,232508,217473,No,Approved
C00555,V0429,D0441,T03335,2025-09-09T19:17:00,Thrissur,Cloudy,Wet,Side,Headlight,Minor,13553,11114,Yes,Approved
C00556,V0172,D0092,T05821,2025-10-11T08:11:00,Kochi,Sunny,Wet,Rear-end,Rear Bumper,Major,100588,83267,No,Under Review
C00557,V0151,D0679,T07202,2025-06-02T00:44:00,Kochi,Cloudy,Slippery,Head-on,Rear Bumper,Minor,169192,138585,Yes,Rejected
C00558,V0473,D0391,T05468,2025-03-18T21:51:00,Alappuzha,Cloudy,Slippery,Side,Front Bumper,Moderate,188843,183501,No,Approved
C00559,V0277,D0137,T00362,2025-08-14T11:39:00,Kochi,Heavy Rain,Wet,Head-on,Door,Major,247755,208649,No,Approved
C00560,V0422,D0058,T01231,2025-07-19T06:54:00,Palakkad,Sunny,Wet,Rear-end,Headlight,Major,180605,148369,No,Rejected
C00561,V0195,D0559,T01716,2025-07-31T06:19:00,Kollam,Fog,Wet,Side,Front Bumper,Major,228335,226574,No,Under Review
C00562,V0105,D0525,T06546,2025-07-04T21:28:00,Kollam,Fog,Dry,Head-on,Engine Bay,Minor,186249,150688,Yes,Rejected
C00563,V0269,D0016,T05910,2025-08-06T11:01:00,Palakkad,Heavy Rain,Slippery,Single Vehicle,Rear Bumper,Moderate,110974,95261,No,Approved
C00564,V0257,D0172,T05749,2025-04-19T06:48:00,Thrissur,Cloudy,Dry,Side,Headlight,Minor,192068,190186,No,Rejected
C00565,V0468,D0419,T04984,2025-01-02T15:17:00,Alappuzha,Fog,Slippery,Side,Rear Bumper,Moderate,191066,163346,Yes,Under Review
C00566,V0140,D0164,T00113,2025-10-18T07:18:00,Palakkad,Cloudy,Dry,Head-on,Windshield,Major,65590,55878,Yes,Rejected
C00567,V0010,D0156,T06829,2025-07-07T03:57:00,Kollam,Rain,Slippery,Single Vehicle,Rear Bumper,Moderate,21018,20198,No,Approved
