service_id,vehicle_id,engine_serial_no,service_date,service_type,service_category,fault_code,diagnosis,technician,workshop,parts_replaced,labour_cost,parts_cost,total_cost,downtime_hours,next_service_due,warranty_claim,service_status
S01076,V0354,ESN725869,2025-08-18,Engine Diagnostics,Preventive,P0420,Battery degradation,TECH721,FleetCare Kochi,Brake Pads,4484,12654,17138,3.1,2026-02-14,Yes,Completed
S01077,V0258,ESN657351,2025-10-07,Engine Diagnostics,Corrective,P0171,Routine inspection,TECH240,FleetCare Kochi,Spark Plug,3962,18314,22276,9.2,2026-04-05,No,Completed
S01078,V0432,ESN829512,2025-12-25,Cooling System,Preventive,P0012,Engine overheating,TECH140,AutoMind Central,Oil Filter,2960,17954,20914,3.2,2026-06-23,Yes,Pending
S01079,V0077,ESN880122,2025-01-16,Oil Change,Corrective,P0420,Routine inspection,TECH403,Prime Motors,Oil Filter,1751,982,2733,3.8,2025-07-15,Yes,Completed
S01080,V0403,ESN875312,2025-10-23,Battery Replacement,Corrective,P0300,Engine overheating,TECH483,FleetCare Kochi,Spark Plug,5446,16534,21980,12.0,2026-04-21,No,Pending
S01081,V0427,ESN278683,2025-07-28,Battery Replacement,Preventive,P0012,Engine overheating,TECH215,Kerala Truck Service,Spark Plug,4544,13820,18364,1.3,2026-01-24,Yes,Pending
S01082,V0317,ESN785692,2025-05-28,Oil Change,Preventive,P0300,Battery degradation,TECH449,Kerala Truck Service,Oil Filter,3544,18333,21877,6.4,2025-11-24,No,Pending
S01083,V0170,ESN325856,2025-05-03,Cooling System,Preventive,P0012,Low oil pressure,TECH951,Kerala Truck Service,Air Filter,1012,14006,15018,11.9,2025-10-30,No,Completed
S01084,V0441,ESN512098,2025-08-31,Oil Change,Preventive,P0012,Battery degradation,TECH216,AutoMind Central,Brake Pads,3551,10909,14460,1.8,2026-02-27,Yes,Completed
S01085,V0092,ESN300462,2025-07-13,Cooling System,Emergency,P0000,Brake wear,TECH206,Kerala Truck Service,Air Filter,3125,11674,14799,10.9,2026-01-09,No,Pending
S01086,V0370,ESN907225,2025-06-11,Engine Diagnostics,Corrective,P0420,Battery degradation,TECH125,FleetCare Kochi,Coolant Hose,1256,13593,14849,11.1,2025-12-08,Yes,Pending
S01087,V0038,ESN459527,2025-01-30,Oil Change,Emergency,P0300,Engine overheating,TECH970,Kerala Truck Service,Air Filter,2665,4886,7551,4.1,2025-07-29,No,Completed
S01088,V0124,ESN593176,2025-10-22,Battery Replacement,Emergency,P0171,Brake wear,TECH612,AutoMind Central,Air Filter,4932,3995,8927,2.8,2026-04-20,No,Pending
S01089,V0192,ESN877136,2025-07-28,Brake Service,Preventive,P0171,Brake wear,TECH899,AutoMind Central,Air Filter,5462,4588,10050,3.3,2026-01-24,No,Pending
S01090,V0414,ESN133997,2025-02-07,Oil Change,Emergency,P0000,Low oil pressure,TECH447,Kerala Truck Service,Coolant Hose,2772,14497,17269,4.5,2025-08-06,Yes,Completed
S01091,V0216,ESN595916,2025-07-06,Brake Service,Emergency,P0012,Engine overheating,TECH103,Prime Motors,Air Filter,937,14720,15657,9.3,2026-01-02,No,Pending
S01092,V0367,ESN236668,2025-02-23,Routine Service,Corrective,P0000,Low oil pressure,TECH354,Kerala Truck Service,Air Filter,4943,12933,17876,10.8,2025-08-22,Yes,Completed
S01093,V0452,ESN324736,2025-11-14,Cooling System,Corrective,P0171,Routine inspection,TECH922,Kerala Truck Service,Coolant Hose,1635,10590,12225,1.6,2026-05-13,No,Pending
S01094,V0237,ESN642911,2025-10-22,Cooling System,Corrective,P0300,Low oil pressure,TECH281,AutoMind Central,Brake Pads,4899,7474,12373,1.3,2026-04-20,Yes,Completed
S01095,V0114,ESN361717,2025-05-11,Routine Service,Preventive,P0300,Battery degradation,TECH383,FleetCare Kochi,Spark Plug,1129,18511,19640,4.2,2025-11-07,No,Pending
S01096,V0253,ESN751199,2025-01-09,Routine Service,Emergency,P0300,Low oil pressure,TECH369,Prime Motors,Brake Pads,4920,11658,16578,1.3,2025-07-08,Yes,Completed
S01097,V0425,ESN702065,2025-02-25,Brake Service,Preventive,P0300,Routine inspection,TECH738,Kerala Truck Service,Oil Filter,817,5239,6056,3.4,2025-08-24,No,Completed
S01098,V0124,ESN771593,2025-02-16,Engine Diagnostics,Preventive,P0000,Routine inspection,TECH592,Prime Motors,Battery,4579,2072,6651,7.8,2025-08-15,No,Completed
S01099,V0116,ESN838726,2025-10-20,Engine Diagnostics,Corrective,P0012,Engine overheating,TECH686,FleetCare Kochi,Coolant Hose,3800,15795,19595,11.9,2026-04-18,Yes,Completed
S01100,V0344,ESN218031,2025-02-22,Cooling System,Preventive,P0171,Low oil pressure,TECH737,AutoMind Central,Oil Filter,4216,10907,15123,9.2,2025-08-21,Yes,Completed
S01101,V0489,ESN566752,2025-08-06,Battery Replacement,Preventive,P0420,Brake wear,TECH592,AutoMind Central,Brake Pads,4809,979,5788,3.4,2026-02-02,Yes,Pending
S01102,V0249,ESN676600,2025-05-14,Brake Service,Emergency,P0300,Engine overheating,TECH917,Kerala Truck Service,Brake Pads,5895,9395,15290,5.0,2025-11-10,No,Completed
S01103,V0047,ESN596885,2025-07-23,Cooling System,Emergency,P0420,Engine overheating,TECH435,FleetCare Kochi,Air Filter,5289,1724,7013,9.4,2026-01-19,No,Completed
S01104,V0312,ESN801128,2025-05-05,Cooling System,Emergency,P0420,Battery degradation,TECH932,Prime Motors,Spark Plug,2621,5494,8115,8.3,2025-11-01,No,Completed
S01105,V0373,ESN308076,2025-10-22,Cooling System,Emergency,P0000,Engine overheating,TECH252,AutoMind Central,Battery,2800,16654,19454,11.1,2026-04-20,No,Pending
S01106,V0230,ESN293950,2025-02-09,Routine Service,Corrective,P0012,Battery degradation,TECH418,AutoMind Central,Battery,4232,11671,15903,6.4,2025-08-08,No,Completed
S01107,V0401,ESN416559,2025-02-10,Brake Service,Emergency,P0300,Low oil pressure,TECH299,AutoMind Central,Coolant Hose,4329,6676,11005,3.8,2025-08-09,Yes,Pending
S01108,V0015,ESN211885,2025-08-26,Routine Service,Preventive,P0012,Battery degradation,TECH377,FleetCare Kochi,Coolant Hose,5210,13083,18293,9.9,2026-02-22,No,Pending
S01109,V0211,ESN742275,2025-01-29,Engine Diagnostics,Preventive,P0300,Engine overheating,TECH686,FleetCare Kochi,Brake Pads,1597,18915,20512,10.1,2025-07-28,Yes,Pending
S01110,V0371,ESN782240,2025-06-26,Oil Change,Corrective,P0012,Battery degradation,TECH945,Prime Motors,Battery,4142,9229,13371,6.9,2025-12-23,No,Completed
S01111,V0225,ESN813836,2025-03-02,Oil Change,Preventive,P0300,Engine overheating,TECH530,Prime Motors,Battery,5818,13610,19428,11.3,2025-08-29,Yes,Completed
S01112,V0028,ESN393797,2025-04-18,Engine Diagnostics,Preventive,P0012,Low oil pressure,TECH669,Kerala Truck Service,Oil Filter,1845,5320,7165,2.2,2025-10-15,No,Pending
S01113,V0413,ESN127477,2025-10-25,Battery Replacement,Corrective,P0300,Brake wear,TECH559,AutoMind Central,Air Filter,3104,9860,12964,9.6,2026-04-23,No,Completed
S01114,V0448,ESN176463,2025-03-15,Brake Service,Corrective,P0420,Low oil pressure,TECH422,Prime Motors,Battery,1385,12121,13506,3.2,2025-09-11,No,Completed
S01115,V0318,ESN533492,2025-09-17,Oil Change,Corrective,P0000,Low oil pressure,TECH861,FleetCare Kochi,Spark Plug,3506,13624,17130,5.4,2026-03-16,No,Completed
S01116,V0245,ESN675462,2025-04-10,Routine Service,Preventive,P0000,Low oil pressure,TECH294,Kerala Truck Service,Brake Pads,5307,8705,14012,1.7,2025-10-07,No,Pending
S01117,V0233,ESN513218,2025-12-04,Routine Service,Emergency,P0012,Battery degradation,TECH661,Prime Motors,Spark Plug,2959,9277,12236,9.0,2026-06-02,Yes,Completed
S01118,V0038,ESN681663,2025-06-04,Engine Diagnostics,Emergency,P0300,Brake wear,TECH207,FleetCare Kochi,Oil Filter,5944,15311,21255,12.0,2025-12-01,No,Pending
S01119,V0150,ESN554194,2025-06-06,Engine Diagnostics,Emergency,P0420,Low oil pressure,TECH200,FleetCare Kochi,Spark Plug,3060,2981,6041,7.2,2025-12-03,Yes,Pending
S01120,V0360,ESN896068,2025-08-07,Cooling System,Corrective,P0000,Engine overheating,TECH951,AutoMind Central,Brake Pads,3849,13226,17075,6.4,2026-02-03,No,Pending
S01121,V0358,ESN207634,2025-11-16,Battery Replacement,Corrective,P0012,Low oil pressure,TECH886,FleetCare Kochi,Battery,1791,7859,9650,11.0,2026-05-15,Yes,Pending
S01122,V0480,ESN609233,2025-08-12,Engine Diagnostics,Preventive,P0000,Engine overheating,TECH196,FleetCare Kochi,Brake Pads,1287,16718,18005,9.2,2026-02-08,Yes,Pending
S01123,V0155,ESN406153,2025-09-14,Oil Change,Preventive,P0171,Engine overheating,TECH373,AutoMind Central,Air Filter,3914,6939,10853,4.1,2026-03-13,No,Completed
S01124,V0385,ESN377062,2025-06-06,Engine Diagnostics,Preventive,P0000,Routine inspection,TECH891,AutoMind Central,Spark Plug,3453,708,4161,2.9,2025-12-03,Yes,Pending
S01125,V0209,ESN240569,2025-02-16,Oil Change,Preventive,P0171,Low oil pressure,TECH874,Kerala Truck Service,Air Filter,880,12571,13451,6.9,2025-08-15,Yes,Pending
S01126,V0399,ESN575301,2025-08-11,Routine Service,Emergency,P0420,Routine inspection,TECH866,Kerala Truck Service,Air Filter,3074,6582,9656,9.3,2026-02-07,Yes,Completed
S01127,V0207,ESN318162,2025-09-25,Cooling System,Preventive,P0171,Routine inspection,TECH720,FleetCare Kochi,Battery,2524,15153,17677,11.1,2026-03-24,No,Completed
S01128,V0130,ESN185522,2025-10-27,Engine Diagnostics,Corrective,P0300,Battery degradation,TECH396,AutoMind Central,Spark Plug,980,10229,11209,9.7,2026-04-25,Yes,Completed
S01129,V0437,ESN146871,2025-11-13,Battery Replacement,Emergency,P0420,Low oil pressure,TECH188,AutoMind Central,Spark Plug,5089,17584,22673,11.7,2026-05-12,Yes,Completed
S01130,V0304,ESN438517,2025-12-26,Battery Replacement,Emergency,P0012,Engine overheating,TECH204,FleetCare Kochi,Air Filter,984,19160,20144,2.8,2026-06-24,No,Pending
S01131,V0266,ESN983750,2025-02-25,Engine Diagnostics,Corrective,P0300,Engine overheating,TECH926,Prime Motors,Coolant Hose,2783,2750,5533,1.0,2025-08-24,Yes,Completed
S01132,V0098,ESN434696,2025-10-06,Oil Change,Preventive,P0171,Low oil pressure,TECH278,Kerala Truck Service,Coolant Hose,4491,10319,14810,3.4,2026-04-04,Yes,Pending
S01133,V0119,ESN182195,2025-12-26,Brake Service,Emergency,P0000,Brake wear,TECH222,Prime Motors,Air Filter,4061,16401,20462,10.1,2026-06-24,No,Pending
S01134,V0082,ESN302238,2025-05-02,Engine Diagnostics,Corrective,P0300,Battery degradation,TECH287,Kerala Truck Service,Coolant Hose,5520,11094,16614,7.8,2025-10-29,No,Completed
S01135,V0480,ESN305929,2025-03-31,Routine Service,Corrective,P0300,Battery degradation,TECH515,FleetCare Kochi,Battery,5893,4206,10099,3.6,2025-09-27,No,Completed
S01136,V0235,ESN852616,2025-02-11,Battery Replacement,Corrective,P0012,Engine overheating,TECH402,Prime Motors,Coolant Hose,3249,4107,7356,3.1,2025-08-10,Yes,Pending
S01137,V0155,ESN659622,2025-02-17,Oil Change,Emergency,P0000,Engine overheating,TECH115,FleetCare Kochi,Spark Plug,5432,5450,10882,9.0,2025-08-16,Yes,Completed
S01138,V0020,ESN950623,2025-04-16,Battery Replacement,Emergency,P0012,Engine overheating,TECH774,Kerala Truck Service,Brake Pads,927,2915,3842,10.2,2025-10-13,Yes,Completed
S01139,V0183,ESN326542,2025-01-11,Routine Service,Corrective,P0000,Battery degradation,TECH294,Prime Motors,Spark Plug,1285,17812,19097,8.7,2025-07-10,Yes,Pending
S01140,V0094,ESN747605,2025-08-07,Oil Change,Preventive,P0000,Battery degradation,TECH506,FleetCare Kochi,Battery,3040,5101,8141,11.0,2026-02-03,No,Completed
S01141,V0023,ESN251678,2025-01-18,Cooling System,Emergency,P0012,Low oil pressure,TECH757,FleetCare Kochi,Air Filter,4170,10581,14751,6.7,2025-07-17,No,Completed
S01142,V0307,ESN445369,2025-04-14,Oil Change,Corrective,P0171,Low oil pressure,TECH573,AutoMind Central,Air Filter,4837,15966,20803,6.9,2025-10-11,No,Completed
S01143,V0055,ESN984852,2025-09-02,Battery Replacement,Corrective,P0012,Brake wear,TECH157,Kerala Truck Service,Oil Filter,3460,19449,22909,4.3,2026-03-01,Yes,Completed
S01144,V0232,ESN527171,2025-10-27,Battery Replacement,Emergency,P0000,Engine overheating,TECH619,Prime Motors,Coolant Hose,4752,4370,9122,6.7,2026-04-25,Yes,Pending
S01145,V0042,ESN737795,2025-05-08,Cooling System,Preventive,P0000,Routine inspection,TECH670,FleetCare Kochi,Oil Filter,1212,1006,2218,7.9,2025-11-04,No,Pending
S01146,V0236,ESN854115,2025-01-29,Oil Change,Preventive,P0300,Low oil pressure,TECH617,Prime Motors,Coolant Hose,5080,8247,13327,2.5,2025-07-28,No,Completed
S01147,V0323,ESN753540,2025-05-22,Routine Service,Emergency,P0420,Routine inspection,TECH226,AutoMind Central,Spark Plug,3662,12181,15843,6.2,2025-11-18,Yes,Completed
S01148,V0246,ESN831338,2025-04-20,Oil Change,Emergency,P0012,Routine inspection,TECH178,FleetCare Kochi,Coolant Hose,3692,6590,10282,10.1,2025-10-17,Yes,Completed
S01149,V0431,ESN645814,2025-10-18,Engine Diagnostics,Corrective,P0300,Engine overheating,TECH373,AutoMind Central,Spark Plug,4647,2847,7494,3.4,2026-04-16,No,Completed
S01150,V0076,ESN658025,2025-06-09,Oil Change,Preventive,P0012,Battery degradation,TECH350,Prime Motors,Battery,1813,4868,6681,11.0,2025-12-06,No,Pending
S01151,V0476,ESN123222,2025-02-01,Routine Service,Emergency,P0420,Brake wear,TECH599,Kerala Truck Service,Brake Pads,2997,14443,17440,1.1,2025-07-31,Yes,Completed
S01152,V0461,ESN991108,2025-11-09,Oil Change,Emergency,P0300,Routine inspection,TECH956,Prime Motors,Battery,5397,15379,20776,1.1,2026-05-08,No,Pending
S01153,V0405,ESN204815,2025-03-14,Brake Service,Corrective,P0000,Low oil pressure,TECH394,Kerala Truck Service,Brake Pads,2714,8009,10723,1.5,2025-09-10,No,Pending
S01154,V0367,ESN342756,2025-10-18,Cooling System,Preventive,P0000,Battery degradation,TECH624,Kerala Truck Service,Brake Pads,1254,11867,13121,8.9,2026-04-16,Yes,Completed
S01155,V0249,ESN326699,2025-03-09,Oil Change,Corrective,P0300,Low oil pressure,TECH688,Kerala Truck Service,Coolant Hose,5287,16502,21789,11.0,2025-09-05,Yes,Pending
S01156,V0327,ESN780217,2025-08-29,Brake Service,Preventive,P0012,Routine inspection,TECH510,Kerala Truck Service,Brake Pads,2986,10727,13713,1.9,2026-02-25,No,Pending
S01157,V0313,ESN771003,2025-12-14,Cooling System,Preventive,P0420,Battery degradation,TECH860,Kerala Truck Service,Air Filter,1255,3082,4337,6.0,2026-06-12,Yes,Pending
S01158,V0371,ESN518538,2025-06-01,Oil Change,Emergency,P0420,Routine inspection,TECH366,FleetCare Kochi,Air Filter,3698,3470,7168,4.3,2025-11-28,No,Completed
S01159,V0121,ESN483578,2025-02-05,Routine Service,Preventive,P0171,Engine overheating,TECH605,Prime Motors,Spark Plug,2260,14945,17205,1.9,2025-08-04,Yes,Completed
S01160,V0062,ESN572575,2025-08-08,Cooling System,Preventive,P0300,Low oil pressure,TECH412,Prime Motors,Brake Pads,2727,12504,15231,5.8,2026-02-04,No,Pending
S01161,V0182,ESN523820,2025-09-02,Engine Diagnostics,Corrective,P0000,Low oil pressure,TECH213,Prime Motors,Spark Plug,4204,5161,9365,4.6,2026-03-01,Yes,Completed
S01162,V0397,ESN814608,2025-06-17,Routine Service,Emergency,P0000,Brake wear,TECH108,Kerala Truck Service,Brake Pads,5133,18764,23897,3.6,2025-12-14,Yes,Completed
S01163,V0229,ESN469810,2025-01-29,Battery Replacement,Preventive,P0420,Engine overheating,TECH856,Kerala Truck Service,Brake Pads,2440,6082,8522,7.2,2025-07-28,Yes,Completed
S01164,V0153,ESN965352,2025-09-01,Battery Replacement,Emergency,P0171,Brake wear,TECH955,Prime Motors,Air Filter,1959,8721,10680,7.2,2026-02-28,Yes,Pending
S01165,V0189,ESN212154,2025-09-29,Brake Service,Corrective,P0000,Low oil pressure,TECH662,FleetCare Kochi,Oil Filter,2117,4110,6227,4.8,2026-03-28,No,Pending
S01166,V0401,ESN283324,2025-11-09,Battery Replacement,Preventive,P0420,Brake wear,TECH581,Kerala Truck Service,Spark Plug,938,13884,14822,5.8,2026-05-08,Yes,Completed
S01167,V0045,ESN378568,2025-01-02,Oil Change,Preventive,P0300,Low oil pressure,TECH573,Prime Motors,Spark Plug,5081,2773,7854,5.0,2025-07-01,No,Completed
S01168,V0349,ESN265599,2025-03-15,Routine Service,Corrective,P0000,Routine inspection,TECH785,Prime Motors,Battery,1558,13070,14628,7.6,2025-09-11,Yes,Pending
S01169,V0460,ESN112609,2025-01-12,Brake Service,Corrective,P0012,Routine inspection,TECH848,Kerala Truck Service,Battery,4375,15849,20224,9.8,2025-07-11,No,Completed
S01170,V0454,ESN758614,2025-05-09,Oil Change,Preventive,P0000,Engine overheating,TECH214,FleetCare Kochi,Battery,2134,1131,3265,6.9,2025-11-05,Yes,Pending
S01171,V0182,ESN452614,2025-06-13,Brake Service,Preventive,P0420,Engine overheating,TECH382,FleetCare Kochi,Battery,3193,2639,5832,6.9,2025-12-10,Yes,Completed
S01172,V0071,ESN583438,2025-10-19,Oil Change,Corrective,P0171,Low oil pressure,TECH409,AutoMind Central,Air Filter,1766,19457,21223,4.3,2026-04-17,Yes,Pending
S01173,V0247,ESN157173,2025-05-22,Brake Service,Preventive,P0300,Low oil pressure,TECH685,Prime Motors,Brake Pads,2060,13871,15931,8.3,2025-11-18,Yes,Completed
S01174,V0406,ESN591582,2025-02-15,Battery Replacement,Corrective,P0300,Engine overheating,TECH306,Kerala Truck Service,Coolant Hose,2599,3896,6495,7.6,2025-08-14,No,Completed
S01175,V0080,ESN705327,2025-04-07,Cooling System,Preventive,P0000,Engine overheating,TECH254,AutoMind Central,Spark Plug,3777,11035,14812,4.7,2025-10-04,Yes,Completed
S01176,V0016,ESN181462,2025-06-03,Oil Change,Emergency,P0000,Battery degradation,TECH627,Kerala Truck Service,Air Filter,1436,18773,20209,4.8,2025-11-30,No,Completed
S01177,V0182,ESN147162,2025-01-11,Routine Service,Preventive,P0012,Brake wear,TECH490,FleetCare Kochi,Air Filter,4271,6312,10583,10.9,2025-07-10,Yes,Completed
S01178,V0170,ESN417154,2025-03-23,Brake Service,Emergency,P0300,Low oil pressure,TECH866,AutoMind Central,Battery,4009,13101,17110,1.5,2025-09-19,Yes,Pending
S01179,V0153,ESN462869,2025-03-31,Brake Service,Corrective,P0420,Routine inspection,TECH552,FleetCare Kochi,Spark Plug,5181,11804,16985,6.5,2025-09-27,No,Pending
S01180,V0228,ESN751250,2025-04-24,Engine Diagnostics,Corrective,P0300,Brake wear,TECH680,FleetCare Kochi,Coolant Hose,3539,10122,13661,6.3,2025-10-21,Yes,Pending
S01181,V0499,ESN912406,2025-06-08,Engine Diagnostics,Preventive,P0420,Brake wear,TECH850,AutoMind Central,Battery,4799,11499,16298,11.9,2025-12-05,No,Completed
S01182,V0148,ESN213897,2025-09-07,Oil Change,Preventive,P0171,Routine inspection,TECH708,Prime Motors,Coolant Hose,1266,7603,8869,3.2,2026-03-06,No,Completed
S01183,V0103,ESN773186,2025-11-08,Battery Replacement,Preventive,P0012,Engine overheating,TECH518,Prime Motors,Coolant Hose,5187,1824,7011,1.1,2026-05-07,No,Completed
S01184,V0238,ESN429079,2025-06-14,Cooling System,Corrective,P0171,Engine overheating,TECH607,AutoMind Central,Oil Filter,4453,4322,8775,1.8,2025-12-11,No,Pending
S01185,V0470,ESN701095,2025-01-25,Routine Service,Corrective,P0300,Routine inspection,TECH539,AutoMind Central,Brake Pads,1633,9445,11078,11.7,2025-07-24,No,Completed
S01186,V0417,ESN325955,2025-05-15,Battery Replacement,Preventive,P0420,Engine overheating,TECH982,FleetCare Kochi,Spark Plug,3216,4246,7462,10.6,2025-11-11,No,Pending
S01187,V0092,ESN145240,2025-12-21,Brake Service,Preventive,P0300,Battery degradation,TECH876,AutoMind Central,Air Filter,2324,13396,15720,10.9,2026-06-19,No,Pending
S01188,V0047,ESN103681,2025-05-01,Engine Diagnostics,Emergency,P0420,Battery degradation,TECH466,Kerala Truck Service,Brake Pads,3011,19659,22670,11.2,2025-10-28,No,Completed
S01189,V0405,ESN370544,2025-09-26,Oil Change,Preventive,P0420,Low oil pressure,TECH272,FleetCare Kochi,Coolant Hose,2582,5162,7744,6.9,2026-03-25,No,Completed
S01190,V0092,ESN380196,2025-11-27,Engine Diagnostics,Corrective,P0300,Battery degradation,TECH755,Prime Motors,Brake Pads,4176,4695,8871,10.7,2026-05-26,No,Pending
S01191,V0177,ESN350133,2025-12-29,Routine Service,Emergency,P0171,Engine overheating,TECH931,FleetCare Kochi,Brake Pads,4642,11915,16557,11.2,2026-06-27,Yes,Pending
S01192,V0083,ESN341646,2025-12-11,Engine Diagnostics,Emergency,P0000,Routine inspection,TECH264,FleetCare Kochi,Spark Plug,1852,3977,5829,3.2,2026-06-09,Yes,Pending
S01193,V0032,ESN526741,2025-01-15,Cooling System,Preventive,P0171,Battery degradation,TECH563,Kerala Truck Service,Spark Plug,5810,2933,8743,4.5,2025-07-14,Yes,Pending
S01194,V0400,ESN325519,2025-03-24,Routine Service,Preventive,P0171,Low oil pressure,TECH946,Kerala Truck Service,Air Filter,1381,8935,10316,6.6,2025-09-20,No,Completed
S01195,V0437,ESN566605,2025-10-25,Routine Service,Preventive,P0000,Brake wear,TECH169,FleetCare Kochi,Air Filter,5479,980,6459,7.4,2026-04-23,Yes,Completed
S01196,V0161,ESN260287,2025-12-07,Engine Diagnostics,Corrective,P0420,Routine inspection,TECH219,AutoMind Central,Air Filter,1297,1330,2627,1.5,2026-06-05,No,Completed
S01197,V0111,ESN102847,2025-08-07,Engine Diagnostics,Corrective,P0420,Low oil pressure,TECH185,AutoMind Central,Oil Filter,5737,18590,24327,2.8,2026-02-03,No,Completed
S01198,V0154,ESN701494,2025-03-16,Routine Service,Corrective,P0420,Battery degradation,TECH190,FleetCare Kochi,Battery,2916,9395,12311,9.4,2025-09-12,Yes,Completed
S01199,V0110,ESN664166,2025-07-26,Engine Diagnostics,Preventive,P0171,Engine overheating,TECH150,FleetCare Kochi,Oil Filter,5576,1036,6612,1.2,2026-01-22,Yes,Completed
S01200,V0257,ESN258342,2025-08-03,Battery Replacement,Corrective,P0012,Battery degradation,TECH965,AutoMind Central,Air Filter,1764,18778,20542,11.2,2026-01-30,No,Completed
S01201,V0080,ESN485861,2025-08-01,Oil Change,Preventive,P0420,Low oil pressure,TECH693,AutoMind Central,Air Filter,1332,15528,16860,10.5,2026-01-28,Yes,Pending
S01202,V0283,ESN488200,2025-02-09,Cooling System,Corrective,P0012,Engine overheating,TECH923,AutoMind Central,Brake Pads,924,729,1653,7.0,2025-08-08,No,Completed
S01203,V0271,ESN356920,2025-04-22,Brake Service,Preventive,P0300,Routine inspection,TECH482,AutoMind Central,Coolant Hose,2900,5225,8125,4.0,2025-10-19,Yes,Completed
S01204,V0042,ESN791711,2025-07-05,Oil Change,Emergency,P0171,Low oil pressure,TECH593,Prime Motors,Battery,1702,10813,12515,5.1,2026-01-01,Yes,Pending
S01205,V0237,ESN969861,2025-03-03,Routine Service,Corrective,P0000,Battery degradation,TECH741,Prime Motors,Battery,1685,3650,5335,11.0,2025-08-30,No,Pending
S01206,V0292,ESN405678,2025-07-10,Oil Change,Emergency,P0000,Engine overheating,TECH739,Prime Motors,Spark Plug,5750,14224,19974,2.8,2026-01-06,No,Pending
S01207,V0035,ESN130455,2025-08-31,Brake Service,Corrective,P0012,Battery degradation,TECH137,Kerala Truck Service,Battery,1841,8306,10147,5.8,2026-02-27,Yes,Pending
S01208,V0188,ESN889322,2025-09-17,Cooling System,Emergency,P0300,Low oil pressure,TECH942,AutoMind Central,Battery,1863,1912,3775,2.8,2026-03-16,Yes,Pending
S01209,V0010,ESN145534,2025-06-08,Battery Replacement,Emergency,P0012,Engine overheating,TECH815,FleetCare Kochi,Spark Plug,3254,10945,14199,9.6,2025-12-05,No,Pending
S01210,V0283,ESN122450,2025-06-02,Cooling System,Preventive,P0012,Engine overheating,TECH461,Prime Motors,Spark Plug,3844,4346,8190,1.6,2025-11-29,No,Pending
S01211,V0157,ESN562847,2025-05-22,Brake Service,Preventive,P0300,Brake wear,TECH160,Kerala Truck Service,Air Filter,2677,5243,7920,8.2,2025-11-18,No,Pending
S01212,V0062,ESN200168,2025-08-16,Cooling System,Corrective,P0420,Engine overheating,TECH322,Prime Motors,Oil Filter,2188,8240,10428,6.9,2026-02-12,Yes,Completed
S01213,V0286,ESN197672,2025-11-29,Engine Diagnostics,Corrective,P0420,Engine overheating,TECH281,FleetCare Kochi,Brake Pads,4239,16160,20399,6.5,2026-05-28,No,Completed
S01214,V0097,ESN704803,2025-08-05,Cooling System,Emergency,P0012,Engine overheating,TECH741,Kerala Truck Service,Coolant Hose,5462,18735,24197,11.9,2026-02-01,Yes,Pending
S01215,V0131,ESN909482,2025-03-30,Brake Service,Corrective,P0420,Low oil pressure,TECH946,AutoMind Central,Battery,1440,2309,3749,2.2,2025-09-26,No,Pending
S01216,V0473,ESN476411,2025-03-03,Cooling System,Corrective,P0000,Routine inspection,TECH123,Kerala Truck Service,Spark Plug,3850,1151,5001,2.1,2025-08-30,Yes,Completed
S01217,V0212,ESN259593,2025-03-23,Oil Change,Emergency,P0012,Battery degradation,TECH630,Prime Motors,Oil Filter,803,7785,8588,9.5,2025-09-19,No,Completed
S01218,V0126,ESN816921,2025-04-06,Brake Service,Emergency,P0171,Low oil pressure,TECH835,FleetCare Kochi,Coolant Hose,2491,19295,21786,11.1,2025-10-03,Yes,Pending
S01219,V0252,ESN432093,2025-02-24,Oil Change,Corrective,P0000,Engine overheating,TECH643,AutoMind Central,Battery,3604,4038,7642,3.6,2025-08-23,Yes,Pending
S01220,V0022,ESN115960,2025-01-29,Engine Diagnostics,Corrective,P0171,Brake wear,TECH842,Kerala Truck Service,Battery,3970,10971,14941,4.2,2025-07-28,Yes,Pending
S01221,V0123,ESN117494,2025-04-15,Cooling System,Emergency,P0012,Routine inspection,TECH704,Kerala Truck Service,Coolant Hose,1232,12986,14218,4.5,2025-10-12,Yes,Completed
S01222,V0475,ESN243160,2025-02-05,Battery Replacement,Preventive,P0420,Brake wear,TECH841,FleetCare Kochi,Battery,3166,12940,16106,1.4,2025-08-04,Yes,Completed
S01223,V0185,ESN508318,2025-10-28,Cooling System,Emergency,P0171,Brake wear,TECH626,Kerala Truck Service,Brake Pads,4465,9791,14256,3.4,2026-04-26,No,Completed
S01224,V0191,ESN519120,2025-03-04,Routine Service,Corrective,P0000,Low oil pressure,TECH960,Kerala Truck Service,Brake Pads,4272,2385,6657,2.7,2025-08-31,No,Completed
S01225,V0019,ESN617361,2025-05-19,Battery Replacement,Emergency,P0300,Battery degradation,TECH647,Kerala Truck Service,Brake Pads,3580,9729,13309,8.1,2025-11-15,Yes,Pending
S01226,V0112,ESN519715,2025-05-17,Battery Replacement,Corrective,P0171,Routine inspection,TECH529,AutoMind Central,Oil Filter,2153,6763,8916,11.6,2025-11-13,No,Pending
S01227,V0380,ESN864252,2025-09-17,Routine Service,Emergency,P0000,Routine inspection,TECH878,AutoMind Central,Coolant Hose,5566,13236,18802,3.6,2026-03-16,Yes,Completed
