vehicle_id,registration_number,vin,manufacturer,model,variant,manufacturing_year,purchase_date,vehicle_class,fuel_type,engine_type,engine_capacity_cc,transmission,drivetrain,color,seating_capacity,gross_vehicle_weight_kg,payload_capacity_kg,fuel_tank_capacity_l,warranty_expiry,insurance_policy_id,current_odometer_km,assigned_depot,status,last_service_date
V0113,KL-04-NA-6293,VIN19475502963476,Toyota,Hilux,2.8 GD,2025,6/18/2025,Pickup,Diesel,Inline-4,2800,Manual,RWD,Silver,5,1539,689,60,6/17/2030,POL594520,155467,Trivandrum,Active,10/22/2025
V0114,KL-05-PS-7213,VIN47137310840486,Eicher,Pro 2049,LNT,2019,9/24/2019,Truck,Diesel,Inline-4,3000,Manual,RWD,Silver,2,9585,7916,130,9/22/2024,POL782980,113381,Kochi,Active,9/5/2020
V0115,KL-12-CK-9824,VIN70105789567698,Ashok Leyland,Boss,1415,2023,1/5/2023,Truck,Diesel,Inline-4,3800,Manual,RWD,Silver,2,9586,3143,245,1/4/2028,POL356430,89600,Thrissur,Active,8/21/2026
V0116,KL-04-LH-8532,VIN29889550299991,Toyota,Hilux,2.8 GD,2023,12/4/2023,Pickup,Diesel,Inline-4,2800,Manual,RWD,Red,5,1431,552,62,12/2/2028,POL198031,153423,Kochi,Active,12/28/2026
V0117,KL-05-KP-5833,VIN31001374074790,Eicher,Pro 2049,LNT,2024,10/9/2024,Truck,Diesel,Inline-4,3000,Manual,RWD,Blue,2,10650,3271,133,10/8/2029,POL658956,167471,Trivandrum,Active,7/1/2028
V0118,KL-14-KS-3079,VIN13181133384864,Mahindra,Scorpio N,Z8,2023,4/21/2023,SUV,Diesel,Inline-4,2200,Automatic,RWD,Red,5,1615,550,59,4/19/2028,POL652108,73409,Trivandrum,Active,8/22/2025
V0119,KL-09-RU-9526,VIN23148362842590,Mahindra,Scorpio N,Z8,2022,3/1/2022,SUV,Diesel,Inline-4,2200,Automatic,RWD,Silver,5,1834,474,52,2/28/2027,POL746955,82144,Trivandrum,Active,9/25/2025
V0120,KL-02-CQ-8623,VIN93574983324778,Toyota,Corolla,1.8 G,2022,6/4/2022,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Grey,5,1810,391,62,6/3/2027,POL823038,131492,Kozhikode,Active,5/29/2023
V0121,KL-08-SM-8967,VIN88668996620455,Ashok Leyland,Boss,1415,2021,6/19/2021,Truck,Diesel,Inline-4,3800,Manual,RWD,Blue,2,7019,6688,200,6/18/2026,POL804276,19208,Thrissur,Active,7/9/2024
V0122,KL-07-UL-4472,VIN25106618794745,Eicher,Pro 2049,LNT,2025,1/11/2025,Truck,Diesel,Inline-4,3000,Manual,RWD,Red,2,7319,7031,204,1/10/2030,POL524372,117069,Palakkad,Active,11/20/2028
V0123,KL-02-CT-1034,VIN88378542689116,Tata,Nexon,XZ+,2023,5/18/2023,SUV,Diesel,Inline-4,1500,Manual,RWD,Silver,5,1449,356,70,5/16/2028,POL384161,28745,Trivandrum,Active,12/13/2026
V0124,KL-04-IL-6372,VIN37157617646744,Ashok Leyland,Boss,1415,2019,4/20/2019,Truck,Diesel,Inline-4,3800,Manual,RWD,Silver,2,11631,3502,202,4/18/2024,POL158509,147551,Trivandrum,Active,3/12/2020
V0125,KL-07-TZ-1735,VIN39493573235487,Eicher,Pro 2049,LNT,2020,5/25/2020,Truck,Diesel,Inline-4,3000,Manual,RWD,Silver,2,10060,4709,247,5/24/2025,POL533907,144845,Palakkad,Active,4/6/2023
V0126,KL-02-AT-5432,VIN14356364598683,Toyota,Hilux,2.8 GD,2023,6/23/2023,Pickup,Diesel,Inline-4,2800,Manual,RWD,Blue,5,1879,491,67,6/21/2028,POL431440,133297,Trivandrum,Active,5/17/2024
V0127,KL-14-ZX-8114,VIN90702922987042,Ashok Leyland,Boss,1415,2024,8/9/2024,Truck,Diesel,Inline-4,3800,Manual,RWD,Black,2,11711,5518,247,8/8/2029,POL241003,147082,Trivandrum,Maintenance,8/25/2026
V0128,KL-04-EA-6688,VIN65961783715239,Mahindra,Scorpio N,Z8,2021,12/9/2021,SUV,Diesel,Inline-4,2200,Automatic,RWD,White,5,1698,367,47,12/8/2026,POL777412,121691,Palakkad,Maintenance,12/25/2022
V0129,KL-02-WN-8630,VIN88419175980079,Toyota,Hilux,2.8 GD,2025,11/28/2025,Pickup,Diesel,Inline-4,2800,Manual,RWD,Blue,5,2180,310,41,11/27/2030,POL425550,54550,Kochi,Maintenance,11/3/2026
V0130,KL-09-DO-5131,VIN96072181082639,Ashok Leyland,Boss,1415,2021,11/28/2021,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,9685,5764,249,11/27/2026,POL395025,177149,Trivandrum,Active,3/27/2025
V0131,KL-07-XR-8866,VIN12830363711524,Eicher,Pro 2049,LNT,2019,9/21/2019,Truck,Diesel,Inline-4,3000,Manual,RWD,Black,2,11626,3417,156,9/19/2024,POL565801,174562,Kozhikode,Maintenance,6/12/2022
V0132,KL-11-QS-6417,VIN63450484983806,Toyota,Corolla,1.8 G,2022,7/20/2022,Sedan,Petrol,Inline-4,1800,Automatic,FWD,White,5,1272,674,57,7/19/2027,POL390321,155375,Trivandrum,Active,2/21/2024
V0133,KL-07-TN-5426,VIN13635709815713,Tata,Nexon,XZ+,2025,5/10/2025,SUV,Diesel,Inline-4,1500,Manual,RWD,Grey,5,2075,354,62,5/9/2030,POL861419,164140,Kochi,Active,9/11/2027
V0134,KL-06-UA-7327,VIN56080402897835,Toyota,Corolla,1.8 G,2024,2/4/2024,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Blue,5,1327,459,68,2/2/2029,POL477951,73159,Kochi,Active,5/30/2025
V0135,KL-14-WO-3820,VIN60679497833247,Toyota,Hilux,2.8 GD,2021,9/10/2021,Pickup,Diesel,Inline-4,2800,Manual,RWD,Red,5,1731,630,58,9/9/2026,POL655930,143584,Kochi,Active,3/24/2023
V0136,KL-03-HO-2240,VIN28513203504283,Ashok Leyland,Boss,1415,2024,12/24/2024,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,15558,5371,178,12/23/2029,POL377696,112693,Kozhikode,Active,9/16/2026
V0137,KL-14-KA-1907,VIN49211088518628,Toyota,Corolla,1.8 G,2019,8/24/2019,Sedan,Petrol,Inline-4,1800,Automatic,FWD,White,5,1588,476,62,8/22/2024,POL411255,120574,Kozhikode,Active,1/10/2021
V0138,KL-12-KA-3590,VIN35120534450742,Mahindra,Scorpio N,Z8,2025,6/13/2025,SUV,Diesel,Inline-4,2200,Automatic,RWD,White,5,1988,335,44,6/12/2030,POL369002,62416,Kozhikode,Active,4/29/2027
V0139,KL-02-AT-3425,VIN74612825279618,Eicher,Pro 2049,LNT,2022,7/16/2022,Truck,Diesel,Inline-4,3000,Manual,RWD,Red,2,15338,6382,175,7/15/2027,POL394599,126431,Kozhikode,Active,1/25/2026
V0140,KL-01-CL-4746,VIN60696739209273,Toyota,Corolla,1.8 G,2025,12/8/2025,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Blue,5,1599,392,61,12/7/2030,POL620198,76727,Trivandrum,Active,1/15/2027
V0141,KL-05-CO-4646,VIN65874553450856,Eicher,Pro 2049,LNT,2024,7/11/2024,Truck,Diesel,Inline-4,3000,Manual,RWD,Grey,2,15523,6101,187,7/10/2029,POL101513,170269,Kozhikode,Active,3/22/2027
V0142,KL-06-ON-8617,VIN36871438176285,Tata,Nexon,XZ+,2019,8/24/2019,SUV,Diesel,Inline-4,1500,Manual,RWD,Grey,5,1555,472,55,8/22/2024,POL836117,128642,Kochi,Active,3/25/2021
V0143,KL-12-QW-7399,VIN48260607355797,Toyota,Hilux,2.8 GD,2023,11/10/2023,Pickup,Diesel,Inline-4,2800,Manual,RWD,Blue,5,1872,378,48,11/8/2028,POL416716,99687,Palakkad,Active,8/31/2027
V0144,KL-02-VZ-3735,VIN66379180886972,Toyota,Hilux,2.8 GD,2021,9/27/2021,Pickup,Diesel,Inline-4,2800,Manual,RWD,Grey,5,1562,484,59,9/26/2026,POL161167,33003,Kozhikode,Active,11/27/2022
V0145,KL-04-TF-1707,VIN97917181671498,Eicher,Pro 2049,LNT,2019,3/15/2019,Truck,Diesel,Inline-4,3000,Manual,RWD,Grey,2,9156,6275,174,3/13/2024,POL871102,167021,Kochi,Maintenance,9/27/2021
V0146,KL-01-MW-6293,VIN40056525249484,Toyota,Corolla,1.8 G,2019,7/9/2019,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Red,5,1841,577,70,7/7/2024,POL946655,43455,Trivandrum,Active,10/1/2021
V0147,KL-10-AB-9082,VIN24914669026857,Toyota,Hilux,2.8 GD,2024,5/25/2024,Pickup,Diesel,Inline-4,2800,Manual,RWD,Grey,5,2095,536,54,5/24/2029,POL591198,85960,Thrissur,Active,6/12/2025
V0148,KL-14-FC-7715,VIN21025757908735,Ashok Leyland,Boss,1415,2020,10/28/2020,Truck,Diesel,Inline-4,3800,Manual,RWD,Grey,2,12603,7599,171,10/27/2025,POL913564,137268,Kozhikode,Maintenance,1/18/2022
V0149,KL-06-UY-6638,VIN71314644737645,Toyota,Hilux,2.8 GD,2025,9/20/2025,Pickup,Diesel,Inline-4,2800,Manual,RWD,Red,5,1353,321,50,9/19/2030,POL615468,114319,Kozhikode,Active,7/17/2028
V0150,KL-07-TV-8425,VIN50353790909923,Mahindra,Scorpio N,Z8,2021,5/21/2021,SUV,Diesel,Inline-4,2200,Automatic,RWD,Blue,5,1596,664,46,5/20/2026,POL898213,99353,Trivandrum,Active,3/2/2024
V0151,KL-04-SQ-6617,VIN76334362286039,Ashok Leyland,Boss,1415,2020,9/12/2020,Truck,Diesel,Inline-4,3800,Manual,RWD,Red,2,7142,5753,167,9/11/2025,POL172982,106774,Kochi,Active,10/15/2023
V0152,KL-12-AA-2196,VIN11525359780731,Eicher,Pro 2049,LNT,2019,2/22/2019,Truck,Diesel,Inline-4,3000,Manual,RWD,Red,2,9899,7006,198,2/21/2024,POL996323,169479,Kozhikode,Active,9/15/2021
V0153,KL-07-DQ-8377,VIN20572094619636,Ashok Leyland,Boss,1415,2024,8/4/2024,Truck,Diesel,Inline-4,3800,Manual,RWD,Silver,2,8177,4588,158,8/3/2029,POL818083,86053,Kochi,Maintenance,2/4/2025
V0154,KL-12-MH-1283,VIN21425015811022,Mahindra,Scorpio N,Z8,2024,3/24/2024,SUV,Diesel,Inline-4,2200,Automatic,RWD,White,5,1250,695,68,3/23/2029,POL780441,111428,Kochi,Active,8/29/2024
V0155,KL-04-FQ-1714,VIN94062909800536,Toyota,Hilux,2.8 GD,2020,10/21/2020,Pickup,Diesel,Inline-4,2800,Manual,RWD,Silver,5,1500,446,67,10/20/2025,POL221830,41644,Kochi,Active,9/3/2024
V0156,KL-03-WG-8547,VIN61325442054401,Tata,Nexon,XZ+,2024,7/11/2024,SUV,Diesel,Inline-4,1500,Manual,RWD,Red,5,1459,642,43,7/10/2029,POL423478,89115,Kozhikode,Active,9/3/2025
V0157,KL-01-MZ-5642,VIN74529556485309,Ashok Leyland,Boss,1415,2021,4/21/2021,Truck,Diesel,Inline-4,3800,Manual,RWD,Red,2,14621,3859,126,4/20/2026,POL948913,62048,Trivandrum,Active,10/31/2022
V0158,KL-09-JI-2425,VIN50476927273593,Eicher,Pro 2049,LNT,2019,5/12/2019,Truck,Diesel,Inline-4,3000,Manual,RWD,Black,2,10828,3352,245,5/10/2024,POL549861,97308,Palakkad,Maintenance,8/30/2020
V0159,KL-13-VM-4005,VIN54390938240635,Toyota,Corolla,1.8 G,2021,1/11/2021,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Grey,5,1200,635,70,1/10/2026,POL379463,148381,Palakkad,Maintenance,12/3/2024
V0160,KL-04-UI-6264,VIN11048200535350,Eicher,Pro 2049,LNT,2023,6/6/2023,Truck,Diesel,Inline-4,3000,Manual,RWD,Silver,2,11536,3561,224,6/4/2028,POL946526,79017,Kochi,Maintenance,10/24/2023
V0161,KL-12-HT-1664,VIN90001856589881,Tata,Nexon,XZ+,2025,9/15/2025,SUV,Diesel,Inline-4,1500,Manual,RWD,Black,5,1554,530,57,9/14/2030,POL510155,45064,Palakkad,Maintenance,7/6/2026
V0162,KL-10-ZR-6163,VIN12841089111219,Toyota,Hilux,2.8 GD,2022,1/13/2022,Pickup,Diesel,Inline-4,2800,Manual,RWD,Silver,5,1231,333,69,1/12/2027,POL779544,15642,Kochi,Active,10/8/2025
V0163,KL-03-PT-1313,VIN16353763508923,Eicher,Pro 2049,LNT,2022,2/16/2022,Truck,Diesel,Inline-4,3000,Manual,RWD,White,2,12880,6720,193,2/15/2027,POL955262,127942,Kozhikode,Active,3/6/2025
V0164,KL-05-WG-9374,VIN38317884883108,Tata,Nexon,XZ+,2022,5/5/2022,SUV,Diesel,Inline-4,1500,Manual,RWD,Grey,5,1938,446,69,5/4/2027,POL265327,163418,Kochi,Maintenance,5/10/2023
V0165,KL-05-OJ-4304,VIN63237503426733,Tata,Nexon,XZ+,2019,8/26/2019,SUV,Diesel,Inline-4,1500,Manual,RWD,Silver,5,1669,680,52,8/24/2024,POL848171,103147,Kochi,Active,1/20/2022
V0166,KL-02-PD-8562,VIN14034287118399,Ashok Leyland,Boss,1415,2019,5/25/2019,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,14233,5203,170,5/23/2024,POL466966,53180,Thrissur,Maintenance,10/14/2020
V0167,KL-07-VG-8383,VIN42221752173563,Eicher,Pro 2049,LNT,2020,5/23/2020,Truck,Diesel,Inline-4,3000,Manual,RWD,Blue,2,12962,4171,179,5/22/2025,POL411349,103871,Kochi,Active,11/5/2022
V0168,KL-06-YA-8751,VIN30353542576643,Mahindra,Scorpio N,Z8,2025,8/28/2025,SUV,Diesel,Inline-4,2200,Automatic,RWD,White,5,1894,361,45,8/27/2030,POL591115,130386,Thrissur,Active,9/13/2026
V0169,KL-04-EA-1756,VIN80667271443512,Toyota,Corolla,1.8 G,2022,2/7/2022,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Grey,5,1259,412,62,2/6/2027,POL361225,108148,Palakkad,Active,9/22/2022
V0170,KL-10-XI-5466,VIN36376265188499,Toyota,Hilux,2.8 GD,2023,7/3/2023,Pickup,Diesel,Inline-4,2800,Manual,RWD,Red,5,1317,419,46,7/1/2028,POL421115,37022,Kozhikode,Maintenance,11/20/2024
V0171,KL-14-VD-2504,VIN83974540619384,Eicher,Pro 2049,LNT,2019,8/22/2019,Truck,Diesel,Inline-4,3000,Manual,RWD,Blue,2,12885,4799,222,8/20/2024,POL662493,27037,Thrissur,Active,8/7/2023
V0172,KL-04-AG-2758,VIN28494407727398,Toyota,Hilux,2.8 GD,2020,12/18/2020,Pickup,Diesel,Inline-4,2800,Manual,RWD,Silver,5,1357,587,64,12/17/2025,POL431642,116565,Thrissur,Maintenance,10/24/2022
V0173,KL-05-KC-6230,VIN48085611795586,Tata,Nexon,XZ+,2020,5/17/2020,SUV,Diesel,Inline-4,1500,Manual,RWD,Silver,5,1894,522,59,5/16/2025,POL726285,49149,Palakkad,Active,9/3/2020
V0174,KL-13-CI-9127,VIN17667455063788,Toyota,Hilux,2.8 GD,2021,2/10/2021,Pickup,Diesel,Inline-4,2800,Manual,RWD,Silver,5,2082,664,47,2/9/2026,POL140815,51850,Trivandrum,Active,4/16/2023
V0175,KL-14-UY-7627,VIN60949160056124,Eicher,Pro 2049,LNT,2021,11/15/2021,Truck,Diesel,Inline-4,3000,Manual,RWD,Blue,2,11183,7708,246,11/14/2026,POL383081,13702,Trivandrum,Active,9/11/2024
V0176,KL-14-SL-7727,VIN89920153031235,Toyota,Hilux,2.8 GD,2025,9/12/2025,Pickup,Diesel,Inline-4,2800,Manual,RWD,Silver,5,2066,570,70,9/11/2030,POL300514,67921,Kozhikode,Active,3/8/2026
V0177,KL-09-NN-2046,VIN86247522158155,Eicher,Pro 2049,LNT,2022,5/9/2022,Truck,Diesel,Inline-4,3000,Manual,RWD,Black,2,11115,7432,154,5/8/2027,POL463669,40743,Kochi,Active,10/8/2025
V0178,KL-10-WA-2277,VIN46606573119151,Ashok Leyland,Boss,1415,2020,12/20/2020,Truck,Diesel,Inline-4,3800,Manual,RWD,Blue,2,10880,4496,209,12/19/2025,POL415387,122560,Kozhikode,Maintenance,10/27/2022
V0179,KL-02-YM-1119,VIN92854996575375,Toyota,Hilux,2.8 GD,2023,7/14/2023,Pickup,Diesel,Inline-4,2800,Manual,RWD,Blue,5,1425,524,46,7/12/2028,POL511871,143985,Kochi,Active,3/26/2027
V0180,KL-10-WT-1290,VIN39222025795222,Ashok Leyland,Boss,1415,2021,4/14/2021,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,13553,5341,207,4/13/2026,POL880922,116792,Palakkad,Active,4/17/2022
V0181,KL-07-LK-4512,VIN90184981856507,Tata,Nexon,XZ+,2019,3/25/2019,SUV,Diesel,Inline-4,1500,Manual,RWD,Blue,5,1410,352,44,3/23/2024,POL741623,43084,Thrissur,Active,9/20/2019
V0182,KL-09-PZ-8846,VIN85901395992989,Ashok Leyland,Boss,1415,2024,1/14/2024,Truck,Diesel,Inline-4,3800,Manual,RWD,Grey,2,7563,4847,133,1/12/2029,POL591811,55284,Kozhikode,Active,4/27/2024
V0183,KL-06-EO-6927,VIN58140237394286,Ashok Leyland,Boss,1415,2023,6/20/2023,Truck,Diesel,Inline-4,3800,Manual,RWD,Black,2,7272,6523,141,6/18/2028,POL933604,119451,Kozhikode,Active,10/27/2026
V0184,KL-06-PE-2809,VIN99138826018598,Mahindra,Scorpio N,Z8,2023,11/20/2023,SUV,Diesel,Inline-4,2200,Automatic,RWD,Blue,5,1551,394,52,11/18/2028,POL290671,122104,Thrissur,Active,3/13/2027
V0185,KL-11-JD-5257,VIN32194614808940,Toyota,Hilux,2.8 GD,2022,3/24/2022,Pickup,Diesel,Inline-4,2800,Manual,RWD,Black,5,1997,361,66,3/23/2027,POL205768,40806,Trivandrum,Active,1/10/2023
V0186,KL-06-WU-2136,VIN94212416798901,Eicher,Pro 2049,LNT,2019,11/15/2019,Truck,Diesel,Inline-4,3000,Manual,RWD,Blue,2,14053,3351,245,11/13/2024,POL648116,35993,Trivandrum,Active,5/20/2023
V0187,KL-03-OT-3930,VIN10129625411191,Eicher,Pro 2049,LNT,2022,2/10/2022,Truck,Diesel,Inline-4,3000,Manual,RWD,Grey,2,15825,6097,193,2/9/2027,POL280238,63717,Palakkad,Active,4/5/2024
V0188,KL-12-ES-9441,VIN65946252834062,Toyota,Corolla,1.8 G,2022,12/23/2022,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Blue,5,1331,500,42,12/22/2027,POL462576,46514,Kozhikode,Active,11/7/2024
V0189,KL-10-ZI-2916,VIN12491429702822,Eicher,Pro 2049,LNT,2025,9/16/2025,Truck,Diesel,Inline-4,3000,Manual,RWD,Red,2,12996,6652,147,9/15/2030,POL722663,175100,Thrissur,Active,9/16/2026
V0190,KL-07-HV-2746,VIN51773268290880,Tata,Nexon,XZ+,2025,5/4/2025,SUV,Diesel,Inline-4,1500,Manual,RWD,Silver,5,1989,614,70,5/3/2030,POL559160,14934,Thrissur,Active,11/26/2025
V0191,KL-07-BQ-1227,VIN34319149237400,Toyota,Hilux,2.8 GD,2023,3/10/2023,Pickup,Diesel,Inline-4,2800,Manual,RWD,Grey,5,1744,697,40,3/8/2028,POL974188,112096,Palakkad,Active,6/20/2026
V0192,KL-09-MV-7174,VIN39614455490399,Mahindra,Scorpio N,Z8,2023,2/2/2023,SUV,Diesel,Inline-4,2200,Automatic,RWD,Silver,5,1248,338,46,2/1/2028,POL479640,63775,Thrissur,Active,9/5/2023
V0193,KL-08-XA-2829,VIN65724582320388,Mahindra,Scorpio N,Z8,2023,12/5/2023,SUV,Diesel,Inline-4,2200,Automatic,RWD,Blue,5,2093,346,63,12/3/2028,POL348337,132774,Thrissur,Maintenance,6/1/2027
V0194,KL-12-NI-2402,VIN73724223008930,Toyota,Corolla,1.8 G,2021,8/5/2021,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Red,5,1947,604,48,8/4/2026,POL522971,101761,Palakkad,Active,9/5/2024
V0195,KL-12-XZ-2845,VIN92112248766650,Ashok Leyland,Boss,1415,2023,3/5/2023,Truck,Diesel,Inline-4,3800,Manual,RWD,Black,2,8968,7311,158,3/3/2028,POL133946,160796,Kochi,Active,2/16/2027
V0196,KL-13-EB-3157,VIN40590060624440,Ashok Leyland,Boss,1415,2021,6/5/2021,Truck,Diesel,Inline-4,3800,Manual,RWD,Red,2,15197,7855,181,6/4/2026,POL271986,27918,Thrissur,Maintenance,2/17/2025
V0197,KL-02-CD-3310,VIN74345079332757,Eicher,Pro 2049,LNT,2020,6/7/2020,Truck,Diesel,Inline-4,3000,Manual,RWD,Silver,2,7227,5679,188,6/6/2025,POL995353,63233,Thrissur,Active,1/30/2021
V0198,KL-13-AS-9431,VIN60060185031893,Tata,Nexon,XZ+,2021,10/23/2021,SUV,Diesel,Inline-4,1500,Manual,RWD,Red,5,1790,309,50,10/22/2026,POL606604,39024,Palakkad,Active,10/10/2023
V0199,KL-13-YT-2648,VIN52693890782113,Mahindra,Scorpio N,Z8,2021,5/15/2021,SUV,Diesel,Inline-4,2200,Automatic,RWD,Blue,5,1802,602,70,5/14/2026,POL461075,156330,Kozhikode,Maintenance,12/16/2022
V0200,KL-13-EF-8041,VIN54196243116136,Toyota,Hilux,2.8 GD,2025,8/25/2025,Pickup,Diesel,Inline-4,2800,Manual,RWD,Silver,5,1494,460,59,8/24/2030,POL649882,40188,Thrissur,Active,11/5/2028
V0201,KL-07-WV-7787,VIN97235566742854,Eicher,Pro 2049,LNT,2019,3/6/2019,Truck,Diesel,Inline-4,3000,Manual,RWD,Blue,2,9881,6786,123,3/4/2024,POL738450,155312,Kochi,Active,1/23/2022
V0202,KL-09-DE-4520,VIN49031094376484,Toyota,Hilux,2.8 GD,2025,5/14/2025,Pickup,Diesel,Inline-4,2800,Manual,RWD,Silver,5,1971,428,57,5/13/2030,POL118077,33431,Thrissur,Active,3/6/2028
V0203,KL-09-MH-5747,VIN97044963764224,Tata,Nexon,XZ+,2023,11/5/2023,SUV,Diesel,Inline-4,1500,Manual,RWD,Blue,5,1524,414,54,11/3/2028,POL264577,104382,Thrissur,Active,8/1/2027
V0204,KL-11-RM-6287,VIN71622085444944,Mahindra,Scorpio N,Z8,2020,2/19/2020,SUV,Diesel,Inline-4,2200,Automatic,RWD,Red,5,1237,466,44,2/17/2025,POL881902,129057,Kozhikode,Maintenance,9/29/2020
V0205,KL-04-UE-2746,VIN26607087905579,Tata,Nexon,XZ+,2020,3/2/2020,SUV,Diesel,Inline-4,1500,Manual,RWD,White,5,1304,359,60,3/1/2025,POL815746,54367,Kochi,Active,6/29/2020
V0206,KL-11-OJ-2817,VIN87177587028616,Ashok Leyland,Boss,1415,2021,3/5/2021,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,12518,6990,156,3/4/2026,POL742157,142318,Kochi,Active,12/7/2021
V0207,KL-12-ZU-1398,VIN94027588738473,Tata,Nexon,XZ+,2022,7/26/2022,SUV,Diesel,Inline-4,1500,Manual,RWD,Red,5,1473,691,64,7/25/2027,POL730713,23955,Thrissur,Active,12/7/2022
V0208,KL-10-EM-2021,VIN23134897890308,Ashok Leyland,Boss,1415,2022,11/1/2022,Truck,Diesel,Inline-4,3800,Manual,RWD,Grey,2,11117,6193,192,10/31/2027,POL918273,117712,Palakkad,Active,10/29/2025
V0209,KL-04-KT-8279,VIN54286969573997,Ashok Leyland,Boss,1415,2019,9/15/2019,Truck,Diesel,Inline-4,3800,Manual,RWD,Grey,2,10733,6183,171,9/13/2024,POL441208,120682,Trivandrum,Active,11/9/2020
V0210,KL-04-PK-8213,VIN75315421232014,Ashok Leyland,Boss,1415,2024,10/16/2024,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,15167,5236,136,10/15/2029,POL280354,174892,Palakkad,Active,3/31/2027
V0211,KL-14-NE-7576,VIN12507757739150,Toyota,Corolla,1.8 G,2019,2/23/2019,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Black,5,1404,684,62,2/22/2024,POL959983,32644,Kozhikode,Active,2/15/2022
V0212,KL-11-CK-9498,VIN49200058558859,Ashok Leyland,Boss,1415,2020,4/23/2020,Truck,Diesel,Inline-4,3800,Manual,RWD,White,2,9347,6438,234,4/22/2025,POL971567,130952,Thrissur,Active,7/28/2021
V0213,KL-02-NO-2601,VIN36737375344130,Eicher,Pro 2049,LNT,2019,2/26/2019,Truck,Diesel,Inline-4,3000,Manual,RWD,Black,2,8038,4626,176,2/25/2024,POL534579,80160,Kozhikode,Active,8/4/2020
V0214,KL-08-WF-5361,VIN12383830791289,Mahindra,Scorpio N,Z8,2022,1/25/2022,SUV,Diesel,Inline-4,2200,Automatic,RWD,Red,5,1488,340,47,1/24/2027,POL294426,159550,Kochi,Maintenance,4/4/2024
V0215,KL-11-YW-8155,VIN16136763831027,Eicher,Pro 2049,LNT,2024,3/11/2024,Truck,Diesel,Inline-4,3000,Manual,RWD,Black,2,12271,7289,170,3/10/2029,POL198026,40338,Kozhikode,Maintenance,7/26/2027
V0216,KL-02-OI-7062,VIN18333156959877,Tata,Nexon,XZ+,2024,2/20/2024,SUV,Diesel,Inline-4,1500,Manual,RWD,White,5,1772,551,70,2/18/2029,POL783447,71551,Trivandrum,Active,11/14/2027
V0217,KL-09-JZ-3102,VIN74826574307120,Eicher,Pro 2049,LNT,2019,1/19/2019,Truck,Diesel,Inline-4,3000,Manual,RWD,Black,2,11730,6877,231,1/18/2024,POL119474,156676,Trivandrum,Active,5/12/2021
V0218,KL-14-AY-9427,VIN97326063466223,Ashok Leyland,Boss,1415,2019,4/27/2019,Truck,Diesel,Inline-4,3800,Manual,RWD,Red,2,14084,4910,191,4/25/2024,POL810607,36674,Kochi,Active,4/19/2020
V0219,KL-11-YH-4904,VIN95186484338583,Eicher,Pro 2049,LNT,2022,3/17/2022,Truck,Diesel,Inline-4,3000,Manual,RWD,Red,2,12912,4878,177,3/16/2027,POL413970,70027,Palakkad,Active,5/15/2023
V0220,KL-01-ZU-7424,VIN58399527029622,Toyota,Hilux,2.8 GD,2025,1/17/2025,Pickup,Diesel,Inline-4,2800,Manual,RWD,Blue,5,1818,630,43,1/16/2030,POL508284,52192,Thrissur,Active,7/9/2025
V0221,KL-06-EG-7994,VIN81721475016197,Mahindra,Scorpio N,Z8,2020,10/11/2020,SUV,Diesel,Inline-4,2200,Automatic,RWD,Black,5,1606,426,61,10/10/2025,POL692142,150144,Palakkad,Active,5/1/2022
V0222,KL-13-VE-6397,VIN98604430110797,Toyota,Corolla,1.8 G,2025,3/6/2025,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Silver,5,1879,334,44,3/5/2030,POL837090,124967,Kozhikode,Active,10/11/2025
V0223,KL-07-WN-7990,VIN65655501353902,Mahindra,Scorpio N,Z8,2021,12/8/2021,SUV,Diesel,Inline-4,2200,Automatic,RWD,Blue,5,1622,562,63,12/7/2026,POL285653,112071,Kozhikode,Active,11/10/2023
V0224,KL-10-ZK-6004,VIN57143689865141,Tata,Nexon,XZ+,2024,2/7/2024,SUV,Diesel,Inline-4,1500,Manual,RWD,Black,5,1368,590,55,2/5/2029,POL540735,117874,Trivandrum,Active,9/13/2027
V0225,KL-06-HQ-4027,VIN41771869857703,Toyota,Corolla,1.8 G,2019,8/21/2019,Sedan,Petrol,Inline-4,1800,Automatic,FWD,Blue,5,1977,495,66,8/19/2024,POL687251,21438,Thrissur,Active,6/9/2021
